line_number,method,target_address,thread,module_path,symbol,matched_terms
1,M2,0x7ffb4a420830,0,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
2,M2,0x7ffb48c3a020,0,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
3,M2,0x7ffb4a420830,0,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
4,M2,0x7ffb48c3a020,0,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
5,M2,0x7ffb4a4204f0,0,C:\Windows\System32\KERNEL32.DLL,IsDebuggerPresent,['IsDebuggerPresent']
6,M2,0x7ffb48bfb6c0,0,C:\Windows\System32\KERNELBASE.dll,IsDebuggerPresent,['IsDebuggerPresent']
7,M2,0x7ffb4a401250,0,C:\Windows\System32\KERNEL32.DLL,CheckRemoteDebuggerPresent,['CheckRemoteDebuggerPresent']
8,M2,0x7ffb48c40960,0,C:\Windows\System32\KERNELBASE.dll,CheckRemoteDebuggerPresent,['CheckRemoteDebuggerPresent']
9,M2,0x7ffb4af6d8b0,0,C:\Windows\SYSTEM32\ntdll.dll,ZwQueryInformationProcess,['ZwQueryInformationProcess']
10,M2,0x7ffb4af6d8b0,0,C:\Windows\SYSTEM32\ntdll.dll,ZwQueryInformationProcess,['ZwQueryInformationProcess']
11,M2,0x7ffb4af6d730,0,C:\Windows\SYSTEM32\ntdll.dll,ZwSetInformationThread,['ZwSetInformationThread']
12,M2,0x7ffb4af6d730,0,C:\Windows\SYSTEM32\ntdll.dll,ZwSetInformationThread,['ZwSetInformationThread']
13,M2,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
14,M2,0x7ffb48c28510,0,C:\Windows\System32\KERNELBASE.dll,VirtualProtect,['VirtualProtect']
15,M2,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
16,M2,0x7ffb48c28510,0,C:\Windows\System32\KERNELBASE.dll,VirtualProtect,['VirtualProtect']
17,M2,0x7ffb4a418800,0,C:\Windows\System32\KERNEL32.DLL,LocalAlloc,['LocalAlloc']
18,M2,0x7ffb48bf1b60,0,C:\Windows\System32\KERNELBASE.dll,LocalAlloc,['LocalAlloc']
19,M2,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
20,M2,0x7ffb48c28510,0,C:\Windows\System32\KERNELBASE.dll,VirtualProtect,['VirtualProtect']
21,M2,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
22,M2,0x7ffb48c28510,0,C:\Windows\System32\KERNELBASE.dll,VirtualProtect,['VirtualProtect']
28,M2,0x7ffb4a415980,0,C:\Windows\System32\KERNEL32.DLL,GetTickCount,['GetTickCount']
29,M2,0x7ffb4a415f50,0,C:\Windows\System32\KERNEL32.DLL,QueryPerformanceCounter,['QueryPerformanceCounter']
30,M2,0x7ffb4af10160,0,C:\Windows\SYSTEM32\ntdll.dll,RtlQueryPerformanceCounter,['QueryPerformanceCounter']
140,M2,0x7ffb4a4158b0,0,C:\Windows\System32\KERNEL32.DLL,HeapFree,['HeapFree']
253,M2,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
254,M2,0x7ffb48c28510,0,C:\Windows\System32\KERNELBASE.dll,VirtualProtect,['VirtualProtect']
259,M2,0x7ffb4a4204f0,1,C:\Windows\System32\KERNEL32.DLL,IsDebuggerPresent,['IsDebuggerPresent']
260,M2,0x7ffb48bfb6c0,1,C:\Windows\System32\KERNELBASE.dll,IsDebuggerPresent,['IsDebuggerPresent']
269,M2,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
270,M2,0x7ffb48c3a020,1,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
305,M2,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
306,M2,0x7ffb48c3a020,1,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
503,M2,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
504,M2,0x7ffb48c3a020,1,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
515,M2,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
516,M2,0x7ffb48c3a020,1,C:\Windows\System32\KERNELBASE.dll,LoadLibraryA,['LoadLibraryA']
